timestamp,ICAO,CIAD,Aeródromo,Cidade,UF,Status,NOTAM,Debug
2019-04-18T04:09:14.462284-03:00,SJYE,RR0089,Água Fria,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1284/2018,"['INFOTEMP 1284/2018 \n  AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO \n Duração:  12/11/18 00:43 a 31/12/20 23:59 UTC  | Divulgação: 12/11/2018 00:42']",{'response_status_code': 200}
2019-04-18T04:09:18.924286-03:00,SIUA,RS0068,Águas Claras,VIAMÃO,RS,OK,[],{'response_status_code': 200}
2019-04-18T04:09:23.784286-03:00,SJQL,MG0130,Águas Claras Aviação Agrícola ,SANTA JULIANA,MG,OK,"['INFOTEMP 0199/2019 \n CIRCUITO DE TFC PARA ACFT ASA FIXA E HEL HGT MNM 1000FT SOBRE ELEV AD. \n Duração:  04/04/19 17:00 a 01/07/19 23:59 UTC  | Divulgação: 04/04/2019 16:59', 'Revogado INFOTEMP 0015/2019 \n AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO \n Duração:  11/02/19 00:00 a 11/02/20 23:59 UTC  | Divulgação: 07/01/2019 18:31']",{'response_status_code': 200}
2019-04-18T04:09:28.060285-03:00,SWIV,PA0142,Águia Branca do Parú,ALMEIRIM,PA,OK,[],{'response_status_code': 200}
2019-04-18T04:09:31.812286-03:00,SJYF,RR0090,Ajarani,CARACARAÍ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1213/2018,"['INFOTEMP 1213/2018 \n  AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO  \n Duração:  10/11/18 11:46 a 31/12/20 23:59 UTC  | Divulgação: 10/11/2018 01:45']",{'response_status_code': 200}
2019-04-18T04:09:36.524358-03:00,SDIR,RR0002,Ajarani 2,IRACEMA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1230/2018,"['INFOTEMP 1230/2018 \n AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO  ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO \n Duração:  10/11/18 14:02 a 31/12/20 23:59 UTC  | Divulgação: 10/11/2018 14:01', 'Revogado INFOTEMP 0001/2019 \n AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO \n Duração:  10/11/19 13:56 a 31/12/20 23:59 UTC  | Divulgação: 10/11/2018 13:55']",{'response_status_code': 200}
2019-04-18T04:09:39.943286-03:00,SIGL,BA0086,Alagoinhas,ALAGOINHAS,BA,OK,[],{'response_status_code': 200}
2019-04-18T04:09:43.978286-03:00,SIGE,TO0018,Alberi Juliani,LAGOA DA CONFUSÃO,TO,OK,[],{'response_status_code': 200}
2019-04-18T04:09:47.449320-03:00,SNXI,MG0168,Alberto Ramos,CORDISBURGO,MG,OK,[],{'response_status_code': 200}
2019-04-18T04:09:51.614321-03:00,SIQU,MS0122,Alcoolvale,APARECIDA DO TABOADO,MS,OK,[],{'response_status_code': 200}
