ICAO,CIAD,Aeródromo,Cidade,UF,Alerta,NOTAM,STATUS
SWAO,AM0043,Anamoim,SÃO GABRIEL DA CACHOEIRA,AM,Aeródromo FECHADO até 31/12/20: INFOTEMP 0163/2019,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1456/2018', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1216/2018', 'texto2': 'Duração:'}, {'badge_info': 'INFOTEMP 0163/2019', 'titulo': '', 'texto2': 'Duração:'}]",OK
SDJS,RR0003,Andorinha,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1481/2018,"[{'badge_info': 'INFOTEMP 1481/2018', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1159/2018', 'texto2': 'Duração:'}]",OK
SDKA,RR0004,Angical,NORMANDIA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1231/2018,"{'badge_info': 'INFOTEMP 1231/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SJHF,BA0111,Aníbal Azevedo Filho,MATA DE SÃO JOÃO,BA,,[],OK
SSFU,PA0126,Antonio Furlaneto,DOM ELISEU,PA,,[],OK
SNYW,MA0005,Antônio Guerreiro,GUIMARÃES,MA,,[],OK
SSPO,MS0094,APLIC Aviação agrícola II,ITAPORÃ,MS,,[],OK
SSIC,MS0286,APLIC Aviação Agrícola LTDA,DOURADOS,MS,,[],OK
SJYI,RR0092,Arai,PACARAIMA,RR,,"{'badge_info': 'INFOTEMP 1208/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SJHZ,MT0050,Arara Azul,BARÃO DE MELGAÇO,MT,,[],OK
SJYJ,RR0093,Aratha-ú,ALTO ALEGRE,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1206/2018,"{'badge_info': 'INFOTEMP 1206/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SIEW,AM0031,Areia Branca,NOVO ARIPUANÃ,AM,,[],OK
SJTW,RS0078,Arenhart Aviação Agrícola,URUGUAIANA,RS,,[],OK
SSOU,MT0303,Aripuanã,ARIPUANÃ,MT,,[],OK
SWOA,GO0028,Arnapar,GOIANIRA,GO,,[],OK
SIEZ,SC0025,Asa Branca,TUBARÃO,SC,,[],OK
SJPR,PR0059,Asas de Balsa Nova,BALSA NOVA,PR,,[],OK
SINA,DF0004,Asas do Ar,BRASÍLIA,DF,,[],OK
SIWC,MG0114,Asas do Cerrado,UBERLÂNDIA,MG,,"{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0960/2018', 'texto2': 'Duração:'}",OK
SSXA,MS0346,Asas do MS,FÁTIMA DO SUL,MS,,[],OK
SDBN,SP0176,Associação Recreativa Fazenda Bonanza,SALTO DE PIRAPORA,SP,,[],OK
SWEJ,TO0044,Associação Tocantinense de Aviação,PORTO NACIONAL,TO,,[],OK
SWAK,AM0042,Assunção do Içana,SÃO GABRIEL DA CACHOEIRA,AM,Aeródromo FECHADO até 31/12/20: INFOTEMP 0164/2019,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1454/2018', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1215/2018', 'texto2': 'Duração:'}, {'badge_info': 'INFOTEMP 0164/2019', 'titulo': '', 'texto2': 'Duração:'}]",OK
SDPC,SP0218,Atena,RANCHARIA,SP,,[],OK
SWBV,RR0108,Auaris,AMAJARI,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1492/2018,"[{'badge_info': 'INFOTEMP 1492/2018', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1186/2018', 'texto2': 'Duração:'}]",OK
SSJS,MT0294,Autos do Sangue,BRASNORTE,MT,,[],OK
SIMN,MT0108,Aviação Agrícola Manain,SINOP,MT,,[],OK
SWVS,MT0419,Baía do Padre,VILA BELA DA SANTÍSSIMA TRINDADE,MT,,[],OK
SJYK,RR0094,Baixo Catrimani,CARACARAÍ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1204/2018,"{'badge_info': 'INFOTEMP 1204/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SJYL,RR0095,Baixo Mucajaí,ALTO ALEGRE,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1201/2018,"{'badge_info': 'INFOTEMP 1201/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SJYM,RR0096,Bala,PACARAIMA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1198/2018,"{'badge_info': 'INFOTEMP 1198/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SNBN,PA0083,Balbinot,PORTEL,PA,,[],OK
SDBV,SP0081,Balneário São Januário,ILHA COMPRIDA,SP,,[],OK
SDOS,SP0132,Banaer,SETE BARRAS,SP,,[],OK
SIVW,SP0198,Banaer de Jacupiranga,JACUPIRANGA,SP,,[],OK
SJYO,RR0097,Bananal,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1197/2018,"{'badge_info': 'INFOTEMP 1197/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SJYP,RR0098,Bananeira,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1166/2018,"{'badge_info': 'INFOTEMP 1166/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SJQK,RR0013,Barra do Vento,BOA VISTA,RR,,[],OK
SIRI,BA0096,Barra Grande,MARAÚ,BA,,[],OK
SJYQ,RR0099,Barreirinha,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1153/2018,"{'badge_info': 'INFOTEMP 1153/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SWZL,GO0016,Base Aeroverde,RIO VERDE,GO,,[],OK
SIVP,GO0058,Bela Manhã,NOVA CRIXÁS,GO,,[],OK
SWUB,BA0069,Belo Horizonte,ARAÇAS,BA,,[],OK
SJBW,RS0073,Berge Vile,SÃO LEOPOLDO,RS,,[],OK
SILS,MT0105,Big Master,TANGARÁ DA SERRA,MT,,"{'badge_info': 'INFOTEMP 1417/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SDBE,PA0033,Biopalma,MOJU,PA,,[],OK
SWEX,MA0050,Boa Esperança,SANTA LUZIA,MA,,[],OK
SDBJ,MG0079,Boa Vista,PATROCÍNIO,MG,,[],OK
SJXI,CE0014,Bomar,AMONTADA,CE,Aeródromo FECHADO até 26/07/19: INFOTEMP 0046/2019,"{'badge_info': 'INFOTEMP 0046/2019', 'titulo': '', 'texto2': 'Duração:'}",OK
SNGQ,MG0148,Bom Despacho,BOM DESPACHO,MG,,"{'badge_info': 'F2330/18', 'titulo': ' R F2325/18 28/11/2018 11:48', 'texto2': 'SFC'}",OK
SIAQ,MT0078,Bom Futuro,CUIABÁ,MT,,[],OK
SNWB,BA0148,Bom Sossego,PORTO SEGURO,BA,,[],OK
SSHB,BA0003,Boris,LUÍS EDUARDO MAGALHÃES,BA,,[],OK
SIQE,DF0005,Botelho,BRASÍLIA,DF,,[],OK
SDNB,MT0044,Brasnorte,BRASNORTE,MT,,[],OK
SJIL,MG0002,Brigadeiro Fábio Pereira da Silveira,TUPACIGUARA,MG,,[],OK
SDCU,RJ0013,Brigadeiro Francisco Pinto de Moura,CASIMIRO DE ABREU,RJ,,[],OK
SDNM,MT0047,Brig. Eduardo Gomes,NOVA MUTUM,MT,,[],OK
SILU,MS0098,BRPEC Agro-Pecuária,MIRANDA,MS,,[],OK
SJVB,SP0218,Bugio,PEDRINHAS PAULISTA,SP,,[],OK
SJZT,BA0051,Busato II,SERRA DO RAMALHO,BA,,[],OK
SNNX,RS0086,Cabanha Umbú,BARRA DO QUARAÍ,RS,,[],OK
SNDX,AL0007,Cachoeira,CORURIPE,AL,,[],OK
SJEA,TO0004,Cadete 56 - 147 Santana,PALMEIRÓPOLIS,TO,,[],OK
SWIS,TO0046,Caiapó,CASEARA,TO,,[],OK
SIRJ,PA0054,Caima,ITAITUBA,PA,,[],OK
SJYR,RR0024,Cajú,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1152/2018,"{'badge_info': 'INFOTEMP 1152/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SIZO,MT0157,Calcário Vale do Araguaia,COCALINHO,MT,,[],OK
SIKK,MG0102,Calciolândia,ARCOS,MG,,"[{'badge_info': 'INFOTEMP 0216/2019', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'F0642/19', 'titulo': ' R F0159/19 10/04/2019 20:03', 'texto2': 'SFC'}]",OK
SJYS,RR0101,Camará,NORMANDIA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1147/2018,"{'badge_info': 'INFOTEMP 1147/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SIJY,SC0027,Itajaí/Campo Comandantes,ITAJAÍ,SC,,[],OK
SNCY,AL0006,Campo da Praia,CORURIPE,AL,,[],OK
SJYT,RR0102,Campo Formoso,PACARAIMA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1160/2018,"{'badge_info': 'INFOTEMP 1160/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SJYU,RR0103,Campo Grande,PACARAIMA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1163/2018,"{'badge_info': 'INFOTEMP 1163/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SDYX,PI0018,Campo Maior,CAMPO MAIOR,PI,,[],OK
SINC,SC0029,Campo Nuic,BOM JARDIM DA SERRA,SC,,[],OK
SINP,PR0049,Campo Primavera,SANTA MÔNICA,PR,,[],OK
SSCE,RN0011,Campos de Melo,SÃO JOSÉ DE MIPIBU,RN,,[],OK
SDLZ,MT0001,Campo Verde,CAMPO VERDE,MT,,[],OK
SJKL,RR0033,Canã,NORMANDIA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1271/2018,"{'badge_info': 'INFOTEMP 1271/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SJKM,RR0034,Canawapai,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1281/2018,"{'badge_info': 'INFOTEMP 1281/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SWCC,MS0093,Candote,TRÊS LAGOAS,MS,,[],OK
SDKH,AM0001,Canutama,CANUTAMA,AM,,[],OK
SWMC,SP0278,Capão da Cruz,LUÍS ANTÔNIO,SP,,[],OK
SIMJ,MG0103,Capinópolis - Aviação Agrícola Buttarello LTDA,CAPINÓPOLIS,MG,,[],OK
SNJA,RS0011,Capivari,CAPIVARI DO SUL,RS,,[],OK
SJKN,RR0035,Caracanã,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1283/2018,"{'badge_info': 'INFOTEMP 1283/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SDKL,RR0014,Caracaranã,NORMANDIA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1232/2018,"{'badge_info': 'INFOTEMP 1232/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SJKQ,RR0038,Caramambatai (Mapae),UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1287/2018,"{'badge_info': 'INFOTEMP 1287/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SWKN,MT0048,Caramori,BARRA DO BUGRES,MT,,[],OK
SJKP,RR0004,Caraparu,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1286/2018,"{'badge_info': 'INFOTEMP 1286/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SDKZ,RR0006,Caraparu 4,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1234/2018,"{'badge_info': 'INFOTEMP 1234/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SJKO,RR0036,Cararuau,NORMANDIA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1285/2018,"{'badge_info': 'INFOTEMP 1285/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SJXM,MG0138,Carolina de Assis Repetto,LIMA DUARTE,MG,,[],OK
SNCB,PA0084,Castanhal,PRAINHA,PA,,[],OK
SDCD,SP0082,Catanduva,CATANDUVA,SP,,[],OK
SJKS,RR0003,Catrimani I,IRACEMA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1212/2018,"{'badge_info': 'INFOTEMP 1212/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SJCM,CE0006,Catuleve,AQUIRAZ,CE,,[],OK
SIPB,MA0024,CAVU - Clube de Aviação Ultraleve,RAPOSA,MA,,[],OK
SWPW,SP0280,CEA-Caçapava,CAÇAPAVA,SP,,[],OK
SNOG,RN0004,Ceará Mirim,CEARÁ-MIRIM,RN,,[],OK
SIIC,BA0087,Celeiro 1,JABORANDI,BA,,[],OK
SDCX,PI0013,Celeiro 2,GILBUÉS,PI,,[],OK
SSUC,PA0132,Célia Neuza,SANTA BÁRBARA DO PARÁ,PA,,[],OK
SDXI,MS0060,Cel Porto,CAMAPUÃ,MS,,[],OK
SSAU,RS0026,Centeno,TAPES,RS,,[],OK
SNSK,SP0238,Central Ferraz,HERCULÂNDIA,SP,,[],OK
SDCB,DF0021,Centro Brasileiro de Aviação Agrícola Experimental e Recreativo (CBAAER),BRASÍLIA,DF,,[],OK
SDOI,SP0130,Centro Nacional de Pára-Quedismo,BOITUVA,SP,,"{'badge_info': 'E0639/19', 'titulo': ' R E0563/19 05/04/2019 14:03', 'texto2': 'GND'}",OK
SJSM,PR0060,Chácara Marcella,GOIOERÊ,PR,,[],OK
SDWV,PA0039,Chácara Maringá,SENADOR JOSÉ PORFÍRIO,PA,,[],OK
SWLY,SP0277,Chácara MCL,ANDRADINA,SP,,[],OK
SNYP,PA0116,Chácara Paraíso,MARITUBA,PA,,[],OK
SWRD,RO0033,Chácara Rondoagro,SÃO MIGUEL DO GUAPORÉ,RO,,[],OK
SWXJ,MT0073,Chácara São José,CUIABÁ,MT,,[],OK
SWMT,PR0097,Chácara São Matheus,JAPURÁ,PR,,[],OK
SDXE,SP0162,Chácara Serradinho,JABOTICABAL,SP,,[],OK
SSHD,RS0096,Chico Ledur,ALEGRETE,RS,,[],OK
SDQQ,SP0136,Cia. Agrícola Quatá,QUATÁ,SP,,[],OK
SIKI,CE0021,Cialne Irauçuba,IRAUÇUBA,CE,,[],OK
SNJC,CE0023,Cialne Umirim,UMIRIM,CE,,[],OK
SNCI,PA0085,Cibrasa,CAPANEMA,PA,,[],OK
SICK,MG0033,Cidade Capelinha,CAPELINHA,MG,Aeródromo FECHADO até 11/02/20: INFOTEMP 0023/2019,"{'badge_info': 'INFOTEMP 0023/2019', 'titulo': '', 'texto2': 'Duração:'}",OK
SIXM,MT0149,Cifi,CUIABÁ,MT,,[],OK
SNXY,PA0113,Cikel Brasil Verde,PORTEL,PA,,[],OK
SIVJ,MG0112,Cirrus Sociedade Aerodesportiva,JABOTICATUBAS,MG,,[],OK
SJAC,PA0024,Citropar,CAPITÃO POÇO,PA,,[],OK
SJEH,SP0206,Clemente Verillo,RIBEIRÃO BONITO,SP,,[],OK
SIVG,MT0141,Clube Aerodesportivo Selva,SINOP,MT,,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0916/2018', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0890/2018', 'texto2': 'Duração:'}]",OK
SIAN,RJ0020,Clube CEU,RIO DE JANEIRO,RJ,,"{'badge_info': 'D0489/19', 'titulo': ' R D0488/19 10/04/2019 18:17', 'texto2': 'SFC'}",OK
SWON,SC0023,Clube de Aviação Céu Azul,ARAQUARI,SC,,[],OK
SJXA,MG0137,Clube de Aviação de Itaúna ,ITAÚNA,MG,,"{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0862/2018', 'texto2': 'Duração:'}",OK
SWES,PR0095,Clube de Aviação Experimental do Paraná,IBIPORÃ,PR,,[],OK
