timestamp,ICAO,CIAD,Aeródromo,Cidade,UF,Status,TEMP,AIP,NOTAM,Debug
2019-04-23T05:43:42.335497-03:00,SIZU,MT0160,Agrochapada,PARANATINGA,MT,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:43:47.651458-03:00,SNTP,PA0107,Agropalma,TAILÂNDIA,PA,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:43:52.430459-03:00,SDWC,MT0070,Agropastoril Bom Pastor,RONDONÓPOLIS,MT,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:43:57.112457-03:00,SNMF,MG0157,Agropastoril Monte Alegre,MONTE BELO,MG,OK,[],[],"[['F0635/19', 'R', 'F0161/19', '10/04/2019 18:33', 'AREA PERIGOSA (VOO LIVRE) COORD 202449.15S0460407.90W, 202219.84S0444054.04W,', '204352.58S0444814.50W, 210431.53S0453018.30W, 212228.82S0452755.44W, 211937.17S0461452.77W,', '205046.53S0462930.54W ACT', 'SFC', 'FL100', '10/04/19 18:33 a 07/07/19 20:35 UTC', 'APR 10 1833-2054 APR 11 TIL JUL 07 DLY SR-SS']]",{'response_status_code': 200}
2019-04-23T05:44:02.995458-03:00,SIEC,MS0073,Agropecuária Cachoeira,JARAGUARI,MS,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:44:08.528459-03:00,SIZS,MT0159,Agropecuária Equus,GAÚCHA DO NORTE,MT,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:44:14.669458-03:00,SNOL,MT0260,Agropecuária Mariana,ALTA FLORESTA,MT,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:44:20.938462-03:00,SWQH,MT0381,Agropecuária Nova Santana,ARIPUANÃ,MT,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:44:26.812459-03:00,SNCO,MS0202,Agropecuária Santa Paola,TACURU,MS,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:44:32.872420-03:00,SIVD,MS0134,Agropecuária Santa Rita,RIO VERDE DE MATO GROSSO,MS,Aeródromo FECHADO até 30/06/19: INFOTEMP 1486/2018,"[['INFOTEMP 1486/2018', 'AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO', {'Duração': '11/12/18 21:25 a 30/06/19 23:59 UTC', 'Divulgação': '11/12/2018 21:20'}]]",[],[],{'response_status_code': 200}
2019-04-23T05:39:19.022311-03:00,SIHA,RS0061,Agropecuária São Bernardo,SÃO MIGUEL DAS MISSÕES,RS,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:39:24.346312-03:00,SJRK,PA0077,Agropecuária São Roberto,SANTANA DO ARAGUAIA,PA,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:39:29.720311-03:00,SJHU,MT0180,Agropecuária Vale do Guaporé,COMODORO,MT,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:39:34.576311-03:00,SWZA,MT0443,Agrosan,JUARA,MT,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:39:39.699347-03:00,SDGT,AM0028,Agrotec,MANACAPURU,AM,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:39:44.425311-03:00,SNAV,BA0130,Agrovale,JUAZEIRO,BA,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:39:49.726350-03:00,SJYE,RR0089,Água Fria,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1284/2018,"[['INFOTEMP 1284/2018', 'AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO', {'Duração': '12/11/18 00:43 a 31/12/20 23:59 UTC', 'Divulgação': '12/11/2018 00:42'}]]",[],[],{'response_status_code': 200}
2019-04-23T05:39:54.307312-03:00,SIUA,RS0068,Águas Claras,VIAMÃO,RS,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:39:59.456312-03:00,SJQL,MG0130,Águas Claras Aviação Agrícola ,SANTA JULIANA,MG,OK,"[['Revogado', 'INFOTEMP 0015/2019', 'AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO', {'Duração': '11/02/19 00:00 a 11/02/20 23:59 UTC', 'Divulgação': '07/01/2019 18:31'}], ['INFOTEMP 0199/2019', 'CIRCUITO DE TFC PARA ACFT ASA FIXA E HEL HGT MNM 1000FT SOBRE ELEV AD.', {'Duração': '04/04/19 17:00 a 01/07/19 23:59 UTC', 'Divulgação': '04/04/2019 16:59'}]]",[],[],{'response_status_code': 200}
2019-04-23T05:40:06.574329-03:00,SWIV,PA0142,Águia Branca do Parú,ALMEIRIM,PA,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:40:11.790311-03:00,SJYF,RR0090,Ajarani,CARACARAÍ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1213/2018,"[['INFOTEMP 1213/2018', 'AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO', {'Duração': '10/11/18 11:46 a 31/12/20 23:59 UTC', 'Divulgação': '10/11/2018 01:45'}]]",[],[],{'response_status_code': 200}
2019-04-23T05:40:17.392365-03:00,SDIR,RR0002,Ajarani 2,IRACEMA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1230/2018,"[['Revogado', 'INFOTEMP 0001/2019', 'AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO', {'Duração': '10/11/19 13:56 a 31/12/20 23:59 UTC', 'Divulgação': '10/11/2018 13:55'}], ['INFOTEMP 1230/2018', 'AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO  ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO', {'Duração': '10/11/18 14:02 a 31/12/20 23:59 UTC', 'Divulgação': '10/11/2018 14:01'}]]",[],[],{'response_status_code': 200}
2019-04-23T05:40:22.901442-03:00,SIGL,BA0086,Alagoinhas,ALAGOINHAS,BA,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:40:28.871391-03:00,SIGE,TO0018,Alberi Juliani,LAGOA DA CONFUSÃO,TO,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:40:35.293399-03:00,SNXI,MG0168,Alberto Ramos,CORDISBURGO,MG,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:40:42.060365-03:00,SIQU,MS0122,Alcoolvale,APARECIDA DO TABOADO,MS,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:40:48.695424-03:00,SNDG,AM0036,Aldeia,BORBA,AM,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:40:54.856424-03:00,SSDY,AP0010,Alegria Alcolumbre,MACAPÁ,AP,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:41:02.144424-03:00,SNUF,SP0854,Alfa Airport Posse,SÃO PAULO,SP,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:41:11.020462-03:00,SJXJ,MS0191,Alimentos Dallas,NOVA ALVORADA DO SUL,MS,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:41:20.838424-03:00,SJYG,RR0091,Alto Mucajaí,ALTO ALEGRE,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1211/2018,"[['INFOTEMP 1211/2018', 'AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO', {'Duração': '10/11/18 10:42 a 31/12/20 23:59 UTC', 'Divulgação': '10/11/2018 01:41'}]]",[],[],{'response_status_code': 200}
2019-04-23T05:41:28.853458-03:00,SWAO,AM0043,Anamoim,SÃO GABRIEL DA CACHOEIRA,AM,Aeródromo FECHADO até 31/12/20: INFOTEMP 0163/2019,"[['INFOTEMP 0163/2019', 'AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO', {'Duração': '19/03/19 10:34 a 31/12/20 23:59 UTC', 'Divulgação': '19/03/2019 10:34'}], ['Revogado', 'INFOTEMP 1216/2018', 'AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO  RMK: EXC ACFT DESTINADAS APOIAR A SECRETARIA ESPECIAL DE SAUDE INDIGENA E  CASO O AD ESTEJA LOCALIZADO NA AREA RESTRITA SBR 701 (FRONTEIRA), A ACFT  ENVOLVIDA NA MISSAO DEVERA POSSUIR OBRIGATORIAMENTE UMA AVOAR VALIDA EMITIDA PELO EXMO SR COMANDANTE DA ALA 8', {'Duração': '10/11/18 12:59 a 31/12/20 23:59 UTC', 'Divulgação': '10/11/2018 12:58'}], ['Revogado', 'INFOTEMP 1456/2018', 'AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO', {'Duração': '06/12/18 18:14 a 31/12/20 23:59 UTC', 'Divulgação': '06/12/2018 21:46'}]]",[],[],{'response_status_code': 200}
2019-04-23T05:41:36.210419-03:00,SDJS,RR0003,Andorinha,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1481/2018,"[['Revogado', 'INFOTEMP 1159/2018', 'AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO', {'Duração': '09/11/18 15:18 a 31/12/20 23:59 UTC', 'Divulgação': '09/11/2018 15:14'}], ['INFOTEMP 1481/2018', 'AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO', {'Duração': '10/12/18 20:10 a 31/12/20 23:59 UTC', 'Divulgação': '10/12/2018 20:09'}]]",[],[],{'response_status_code': 200}
2019-04-23T05:41:42.296425-03:00,SDKA,RR0004,Angical,NORMANDIA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1231/2018,"[['INFOTEMP 1231/2018', 'AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE  DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO', {'Duração': '10/11/18 14:10 a 31/12/20 23:59 UTC', 'Divulgação': '10/11/2018 14:09'}]]",[],[],{'response_status_code': 200}
2019-04-23T05:41:47.652424-03:00,SJHF,BA0111,Aníbal Azevedo Filho,MATA DE SÃO JOÃO,BA,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:41:54.599424-03:00,SSFU,PA0126,Antonio Furlaneto,DOM ELISEU,PA,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:42:00.578424-03:00,SNYW,MA0043,Antônio Guerreiro,GUIMARÃES,MA,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:42:06.306424-03:00,SSPO,MS0320,APLIC Aviação agrícola II,ITAPORÃ,MS,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:42:12.158424-03:00,SSIC,MS0286,APLIC Aviação Agrícola LTDA,DOURADOS,MS,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:42:17.088425-03:00,SJYI,RR0092,Arai,PACARAIMA,RR,OK,"[['INFOTEMP 1208/2018', 'AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO', {'Duração': '10/11/18 01:25 a 31/12/20 23:59 UTC', 'Divulgação': '10/11/2018 01:24'}]]",[],[],{'response_status_code': 200}
2019-04-23T05:42:22.914424-03:00,SJHZ,MT0181,Arara Azul,BARÃO DE MELGAÇO,MT,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:42:28.828424-03:00,SJYJ,RR0093,Aratha-ú,ALTO ALEGRE,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1206/2018,"[['INFOTEMP 1206/2018', 'AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO RMK: EXC ACFT OPS EM CARATER EMERGENCIAL E PRECARIO, SEMPRE NO INTERESSE DO ATENDIMENTO DOS POVOS INDIGENAS E APENAS POR ENTES A BEM DOS INTERESSES DO SERVICO PUBLICO', {'Duração': '10/11/18 01:20 a 31/12/20 23:59 UTC', 'Divulgação': '10/11/2018 01:19'}]]",[],[],{'response_status_code': 200}
2019-04-23T05:42:34.046424-03:00,SIEW,AM0031,Areia Branca,NOVO ARIPUANÃ,AM,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:42:39.557466-03:00,SJTW,RS0078,Arenhart Aviação Agrícola,URUGUAIANA,RS,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:42:43.784424-03:00,SSOU,MT0303,Aripuanã,ARIPUANÃ,MT,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:42:49.850458-03:00,SWOA,GO0138,Arnapar,GOIANIRA,GO,OK,[],[],"[['F0710/19', 'N', '17/04/2019 17:52', 'AREA PERIGOSA (VOO LIVRE) COORD 151740.00S0503219.00W, 152527.00S0492825.00W, 154920.00S0491439.00W, 161851.00S0493647.00W, 163707.00S0501708.00W, 161823.00S0503341.00W, 154857.00S0503811.00W ACT', 'SFC', 'FL090', '01/06/19 13:00 a 28/08/19 21:00 UTC', 'DLY 1300-2100']]",{'response_status_code': 200}
2019-04-23T05:42:55.519425-03:00,SIEZ,SC0025,Asa Branca,TUBARÃO,SC,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:43:01.333424-03:00,SJPR,PR0059,Asas de Balsa Nova,BALSA NOVA,PR,OK,[],[],[],{'response_status_code': 200}
2019-04-23T05:43:07.098424-03:00,SINA,DF0004,Asas do Ar,BRASÍLIA,DF,OK,[],[],[],{'response_status_code': 200}
